#,cp,maxdepth,minsplit,minbucket,ganancia_mean
1,-1.1,4,631,301,"9,647,500"
2,-1.05,4,631,301,"9,647,500"
3,-1,4,631,301,"9,647,500"
4,-0.95,4,631,301,"9,647,500"
5,-0.9,4,631,301,"9,647,500"
6,-1.1,4,633,301,"9,647,500"
7,-1.05,4,633,301,"9,647,500"
8,-1,4,633,301,"9,647,500"
9,-0.95,4,633,301,"9,647,500"
10,-0.9,4,633,301,"9,647,500"
11,-1.1,4,635,301,"9,647,500"
12,-1.05,4,635,301,"9,647,500"
13,-1,4,635,301,"9,647,500"
14,-0.95,4,635,301,"9,647,500"
15,-0.9,4,635,301,"9,647,500"
16,-1.1,4,637,301,"9,647,500"
17,-1.05,4,637,301,"9,647,500"
18,-1,4,637,301,"9,647,500"
19,-0.95,4,637,301,"9,647,500"
20,-0.9,4,637,301,"9,647,500"
21,-1.1,4,631,296,"9,632,000"
22,-1.1,4,631,297,"9,632,000"
23,-1.1,4,631,298,"9,632,000"
24,-1.1,4,631,299,"9,632,000"
25,-1.05,4,631,296,"9,632,000"
26,-1.05,4,631,297,"9,632,000"
27,-1.05,4,631,298,"9,632,000"
28,-1.05,4,631,299,"9,632,000"
29,-1,4,631,296,"9,632,000"
30,-1,4,631,297,"9,632,000"
31,-1,4,631,298,"9,632,000"
32,-1,4,631,299,"9,632,000"
33,-0.95,4,631,296,"9,632,000"
34,-0.95,4,631,297,"9,632,000"
35,-0.95,4,631,298,"9,632,000"
36,-0.95,4,631,299,"9,632,000"
37,-0.9,4,631,296,"9,632,000"
38,-0.9,4,631,297,"9,632,000"
39,-0.9,4,631,298,"9,632,000"
40,-0.9,4,631,299,"9,632,000"
41,-1.1,4,633,296,"9,632,000"
42,-1.1,4,633,297,"9,632,000"
43,-1.1,4,633,298,"9,632,000"
44,-1.1,4,633,299,"9,632,000"
45,-1.05,4,633,296,"9,632,000"
46,-1.05,4,633,297,"9,632,000"
47,-1.05,4,633,298,"9,632,000"
48,-1.05,4,633,299,"9,632,000"
49,-1,4,633,296,"9,632,000"
50,-1,4,633,297,"9,632,000"
51,-1,4,633,298,"9,632,000"
52,-1,4,633,299,"9,632,000"
53,-0.95,4,633,296,"9,632,000"
54,-0.95,4,633,297,"9,632,000"
55,-0.95,4,633,298,"9,632,000"
56,-0.95,4,633,299,"9,632,000"
57,-0.9,4,633,296,"9,632,000"
58,-0.9,4,633,297,"9,632,000"
59,-0.9,4,633,298,"9,632,000"
60,-0.9,4,633,299,"9,632,000"
61,-1.1,4,635,296,"9,632,000"
62,-1.1,4,635,297,"9,632,000"
63,-1.1,4,635,298,"9,632,000"
64,-1.1,4,635,299,"9,632,000"
65,-1.05,4,635,296,"9,632,000"
66,-1.05,4,635,297,"9,632,000"
67,-1.05,4,635,298,"9,632,000"
68,-1.05,4,635,299,"9,632,000"
69,-1,4,635,296,"9,632,000"
70,-1,4,635,297,"9,632,000"
71,-1,4,635,298,"9,632,000"
72,-1,4,635,299,"9,632,000"
73,-0.95,4,635,296,"9,632,000"
74,-0.95,4,635,297,"9,632,000"
75,-0.95,4,635,298,"9,632,000"
76,-0.95,4,635,299,"9,632,000"
77,-0.9,4,635,296,"9,632,000"
78,-0.9,4,635,297,"9,632,000"
79,-0.9,4,635,298,"9,632,000"
80,-0.9,4,635,299,"9,632,000"
81,-1.1,4,637,296,"9,632,000"
82,-1.1,4,637,297,"9,632,000"
83,-1.1,4,637,298,"9,632,000"
84,-1.1,4,637,299,"9,632,000"
85,-1.05,4,637,296,"9,632,000"
86,-1.05,4,637,297,"9,632,000"
87,-1.05,4,637,298,"9,632,000"
88,-1.05,4,637,299,"9,632,000"
89,-1,4,637,296,"9,632,000"
90,-1,4,637,297,"9,632,000"
91,-1,4,637,298,"9,632,000"
92,-1,4,637,299,"9,632,000"
93,-0.95,4,637,296,"9,632,000"
94,-0.95,4,637,297,"9,632,000"
95,-0.95,4,637,298,"9,632,000"
96,-0.95,4,637,299,"9,632,000"
97,-0.9,4,637,296,"9,632,000"
98,-0.9,4,637,297,"9,632,000"
99,-0.9,4,637,298,"9,632,000"
100,-0.9,4,637,299,"9,632,000"
101,-1.1,4,637,318,"9,605,000"
102,-1.05,4,637,318,"9,605,000"
103,-1,4,637,318,"9,605,000"
104,-0.95,4,637,318,"9,605,000"
105,-0.9,4,637,318,"9,605,000"
106,-1.1,4,631,278,"9,603,000"
107,-1.1,4,631,279,"9,603,000"
108,-1.1,4,631,280,"9,603,000"
109,-1.1,4,631,281,"9,603,000"
110,-1.05,4,631,278,"9,603,000"
111,-1.05,4,631,279,"9,603,000"
112,-1.05,4,631,280,"9,603,000"
113,-1.05,4,631,281,"9,603,000"
114,-1,4,631,278,"9,603,000"
115,-1,4,631,279,"9,603,000"
116,-1,4,631,280,"9,603,000"
117,-1,4,631,281,"9,603,000"
118,-0.95,4,631,278,"9,603,000"
119,-0.95,4,631,279,"9,603,000"
120,-0.95,4,631,280,"9,603,000"
121,-0.95,4,631,281,"9,603,000"
122,-0.9,4,631,278,"9,603,000"
123,-0.9,4,631,279,"9,603,000"
124,-0.9,4,631,280,"9,603,000"
125,-0.9,4,631,281,"9,603,000"
126,-1.1,4,633,278,"9,603,000"
127,-1.1,4,633,279,"9,603,000"
128,-1.1,4,633,280,"9,603,000"
129,-1.1,4,633,281,"9,603,000"
130,-1.05,4,633,278,"9,603,000"
131,-1.05,4,633,279,"9,603,000"
132,-1.05,4,633,280,"9,603,000"
133,-1.05,4,633,281,"9,603,000"
134,-1,4,633,278,"9,603,000"
135,-1,4,633,279,"9,603,000"
136,-1,4,633,280,"9,603,000"
137,-1,4,633,281,"9,603,000"
138,-0.95,4,633,278,"9,603,000"
139,-0.95,4,633,279,"9,603,000"
140,-0.95,4,633,280,"9,603,000"
141,-0.95,4,633,281,"9,603,000"
142,-0.9,4,633,278,"9,603,000"
143,-0.9,4,633,279,"9,603,000"
144,-0.9,4,633,280,"9,603,000"
145,-0.9,4,633,281,"9,603,000"
146,-1.1,4,635,278,"9,603,000"
147,-1.1,4,635,279,"9,603,000"
148,-1.1,4,635,280,"9,603,000"
149,-1.1,4,635,281,"9,603,000"
150,-1.05,4,635,278,"9,603,000"
151,-1.05,4,635,279,"9,603,000"
152,-1.05,4,635,280,"9,603,000"
153,-1.05,4,635,281,"9,603,000"
154,-1,4,635,278,"9,603,000"
155,-1,4,635,279,"9,603,000"
156,-1,4,635,280,"9,603,000"
157,-1,4,635,281,"9,603,000"
158,-0.95,4,635,278,"9,603,000"
159,-0.95,4,635,279,"9,603,000"
160,-0.95,4,635,280,"9,603,000"
161,-0.95,4,635,281,"9,603,000"
162,-0.9,4,635,278,"9,603,000"
163,-0.9,4,635,279,"9,603,000"
164,-0.9,4,635,280,"9,603,000"
165,-0.9,4,635,281,"9,603,000"
166,-1.1,4,637,278,"9,603,000"
167,-1.1,4,637,279,"9,603,000"
168,-1.1,4,637,280,"9,603,000"
169,-1.1,4,637,281,"9,603,000"
170,-1.05,4,637,278,"9,603,000"
171,-1.05,4,637,279,"9,603,000"
172,-1.05,4,637,280,"9,603,000"
173,-1.05,4,637,281,"9,603,000"
174,-1,4,637,278,"9,603,000"
175,-1,4,637,279,"9,603,000"
176,-1,4,637,280,"9,603,000"
177,-1,4,637,281,"9,603,000"
178,-0.95,4,637,278,"9,603,000"
179,-0.95,4,637,279,"9,603,000"
180,-0.95,4,637,280,"9,603,000"
181,-0.95,4,637,281,"9,603,000"
182,-0.9,4,637,278,"9,603,000"
183,-0.9,4,637,279,"9,603,000"
184,-0.9,4,637,280,"9,603,000"
185,-0.9,4,637,281,"9,603,000"
186,-1.1,4,631,282,"9,602,000"
187,-1.1,4,631,283,"9,602,000"
188,-1.1,4,631,284,"9,602,000"
189,-1.1,4,631,285,"9,602,000"
190,-1.1,4,631,286,"9,602,000"
191,-1.05,4,631,282,"9,602,000"
192,-1.05,4,631,283,"9,602,000"
193,-1.05,4,631,284,"9,602,000"
194,-1.05,4,631,285,"9,602,000"
195,-1.05,4,631,286,"9,602,000"
196,-1,4,631,282,"9,602,000"
197,-1,4,631,283,"9,602,000"
198,-1,4,631,284,"9,602,000"
199,-1,4,631,285,"9,602,000"
200,-1,4,631,286,"9,602,000"
201,-0.95,4,631,282,"9,602,000"
202,-0.95,4,631,283,"9,602,000"
203,-0.95,4,631,284,"9,602,000"
204,-0.95,4,631,285,"9,602,000"
205,-0.95,4,631,286,"9,602,000"
206,-0.9,4,631,282,"9,602,000"
207,-0.9,4,631,283,"9,602,000"
208,-0.9,4,631,284,"9,602,000"
209,-0.9,4,631,285,"9,602,000"
210,-0.9,4,631,286,"9,602,000"
211,-1.1,4,633,282,"9,602,000"
212,-1.1,4,633,283,"9,602,000"
213,-1.1,4,633,284,"9,602,000"
214,-1.1,4,633,285,"9,602,000"
215,-1.1,4,633,286,"9,602,000"
216,-1.05,4,633,282,"9,602,000"
217,-1.05,4,633,283,"9,602,000"
218,-1.05,4,633,284,"9,602,000"
219,-1.05,4,633,285,"9,602,000"
220,-1.05,4,633,286,"9,602,000"
221,-1,4,633,282,"9,602,000"
222,-1,4,633,283,"9,602,000"
223,-1,4,633,284,"9,602,000"
224,-1,4,633,285,"9,602,000"
225,-1,4,633,286,"9,602,000"
226,-0.95,4,633,282,"9,602,000"
227,-0.95,4,633,283,"9,602,000"
228,-0.95,4,633,284,"9,602,000"
229,-0.95,4,633,285,"9,602,000"
230,-0.95,4,633,286,"9,602,000"
231,-0.9,4,633,282,"9,602,000"
232,-0.9,4,633,283,"9,602,000"
233,-0.9,4,633,284,"9,602,000"
234,-0.9,4,633,285,"9,602,000"
235,-0.9,4,633,286,"9,602,000"
236,-1.1,4,635,282,"9,602,000"
237,-1.1,4,635,283,"9,602,000"
238,-1.1,4,635,284,"9,602,000"
239,-1.1,4,635,285,"9,602,000"
240,-1.1,4,635,286,"9,602,000"
241,-1.05,4,635,282,"9,602,000"
242,-1.05,4,635,283,"9,602,000"
243,-1.05,4,635,284,"9,602,000"
244,-1.05,4,635,285,"9,602,000"
245,-1.05,4,635,286,"9,602,000"
246,-1,4,635,282,"9,602,000"
247,-1,4,635,283,"9,602,000"
248,-1,4,635,284,"9,602,000"
249,-1,4,635,285,"9,602,000"
250,-1,4,635,286,"9,602,000"
251,-0.95,4,635,282,"9,602,000"
252,-0.95,4,635,283,"9,602,000"
253,-0.95,4,635,284,"9,602,000"
254,-0.95,4,635,285,"9,602,000"
255,-0.95,4,635,286,"9,602,000"
256,-0.9,4,635,282,"9,602,000"
257,-0.9,4,635,283,"9,602,000"
258,-0.9,4,635,284,"9,602,000"
259,-0.9,4,635,285,"9,602,000"
